id,gender,mcat,scat,name,color,season,usage,brand,price,no of ratings,avg rating,url
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt,385,127,2.1,http://assets.myntassets.com/v1/images/style/properties/2d986dbf9e5f64e3ab8471120c557db4_images.jpg
39716,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress,2848,99,3.2,http://assets.myntassets.com/v1/images/style/properties/c5b0d7c1f0308be020655bc10ca16427_images.jpg
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,1950,341,4.5,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt,2275,36,2.1,http://assets.myntassets.com/v1/images/style/properties/7a1bc7d255671c7f4b85f1b1b35e945b_images.jpg
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings,2228,159,4.5,http://assets.myntassets.com/v1/images/style/properties/c3a37f190933411b11c0fa488bc8bc4d_images.jpg
34009,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,Gini and Jony Girls Black Top,2397,165,3.1,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg
9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts,1490,55,3.7,http://assets.myntassets.com/v1/images/style/properties/9b9622c9c440e59a67c876cf07706f3c_images.jpg
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt,228,312,2.9,http://assets.myntassets.com/v1/images/style/properties/1049df82b306da238c324c6c7031b135_images.jpg
59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,918,66,3.7,http://assets.myntassets.com/v1/images/style/properties/US-Polo-Assn-Men-White---Navy-Blue-Shirt_233bed1565b9ac72f62fb685a2223f3c_images.jpg
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer,741,127,2.2,http://assets.myntassets.com/v1/images/style/properties/a2826334fe816ee0e95ce93b8aabc90d_images.jpg
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans,395,228,2.1,http://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Black-Jeans_6c38590b2ec56b444a760aa56a8ef7e9_images.jpg
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta,1724,93,4.0,http://assets.myntassets.com/v1/images/style/properties/Sushilas-Women-Printed-Green-Kurta_c9347616597dbcbe6eca805e1677c269_images.jpg
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,1469,28,3.7,http://assets.myntassets.com/v1/images/style/properties/117451d5bf32c9ec341a6dfd0c28121a_images.jpg
7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt,552,29,3.9,http://assets.myntassets.com/v1/images/style/properties/9b2dc2cfc35d37aee2f4d46532384605_images.jpg
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,1415,357,2.4,http://assets.myntassets.com/v1/images/style/properties/2641289161a53042c64ced38cadb099b_images.jpg
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt,604,292,4.7,http://assets.myntassets.com/v1/images/style/properties/59433decf845a0c856d3879435d95560_images.jpg
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,Ethnic,Aneri Women Black & Maroon Salwar Suit,1628,193,5.0,http://assets.myntassets.com/v1/images/style/properties/4d16721ce6d31a02786fa271a40dbc86_images.jpg
16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts,534,127,3.3,http://assets.myntassets.com/v1/images/style/properties/9584fab8cde60a77e797973020e5c91d_images.jpg
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,Casual,Tonga Women Pink Printed Shrug,1616,171,3.2,http://assets.myntassets.com/v1/images/style/properties/28d91b2c102e5742714c7f706a73eeb4_images.jpg
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,2864,103,4.1,http://assets.myntassets.com/v1/images/style/properties/7648ed40d904bf77502b84894f9cb980_images.jpg
6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt,2083,267,3.8,http://assets.myntassets.com/v1/images/style/properties/5c0c7cee1d5905a18f6a8d4821ae21aa_images.jpg
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt,709,431,3.9,http://assets.myntassets.com/v1/images/style/properties/477a546e340e50d1c7d4fb252a146692_images.jpg
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts,2714,413,2.6,http://assets.myntassets.com/v1/images/style/properties/ef754e63472dece06abfa6d6c1266d91_images.jpg
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,1818,409,4.9,http://assets.myntassets.com/v1/images/style/properties/f9622342fedb746c6515647f128b94a6_images.jpg
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,1233,197,4.6,http://assets.myntassets.com/v1/images/style/properties/cc57b520818a0ada689545d2bdd025d9_images.jpg
59638,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,FNF Green Wedding Collection Sari,740,134,4.5,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Sari_7e6a7f6bba933b0923861ac3b65c9f5e_images.jpg
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers,2198,425,4.7,http://assets.myntassets.com/v1/images/style/properties/bbddb8510d402639e0a038bde5ec08bb_images.jpg
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt,774,224,2.4,http://assets.myntassets.com/v1/images/style/properties/b24d6360e5f726e86b7db28e2225894b_images.jpg
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,503,58,2.2,http://assets.myntassets.com/v1/images/style/properties/c843af98fead5393ecf56934e07ca496_images.jpg
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt,336,82,4.3,http://assets.myntassets.com/v1/images/style/properties/e01152d30659f4099b46cb0c1fcb918b_images.jpg
31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top,2327,76,3.1,http://assets.myntassets.com/v1/images/style/properties/5b427e7381af213df2d54a17cd193aea_images.jpg
12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,2928,400,2.2,http://assets.myntassets.com/v1/images/style/properties/47e0bf9f4a04bd6f5901c0f4fc65e54d_images.jpg
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt,1385,206,4.4,http://assets.myntassets.com/v1/images/style/properties/75c8932f3b5a274c73e3c94f95540d7b_images.jpg
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers,1470,135,4.4,http://assets.myntassets.com/v1/images/style/properties/ONLY-Women-directoire-blue-Trousers_9ad40a06ae4b8c071f84e12599c1c9b7_images.jpg
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top,913,177,4.6,http://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta,2447,53,4.0,http://assets.myntassets.com/v1/images/style/properties/cc658745ce38f9e09bec039a997155a9_images.jpg
21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top,2759,109,2.9,http://assets.myntassets.com/v1/images/style/properties/5a76ef8930d8bd543d8f7e6f5383d390_images.jpg
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts,559,334,4.1,http://assets.myntassets.com/v1/images/style/properties/f105cf31753c2cbdf23e8722dc83a019_images.jpg
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts,1729,328,4.9,http://assets.myntassets.com/v1/images/style/properties/8e4099bc672a376b156e1fe903fd5e16_images.jpg
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,2417,330,2.7,http://assets.myntassets.com/v1/images/style/properties/b54b7d7f19b9dbb54c85c584719c46ef_images.jpg
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top,2763,82,2.1,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt,863,340,2.6,http://assets.myntassets.com/v1/images/style/properties/e2604389938f13f2cc1a772bba320a45_images.jpg
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging,807,482,2.4,http://assets.myntassets.com/v1/images/style/properties/054b93509e888e996ba7b12b554870e3_images.jpg
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,Ethnic,Mother Earth Women Magenta Kurta,2953,126,4.8,http://assets.myntassets.com/v1/images/style/properties/1dea61d01ec84aed63dcbb32adda717a_images.jpg
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,735,147,2.6,http://assets.myntassets.com/v1/images/style/properties/c6a6fbe4d75e40529b7be5427d095142_images.jpg
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,Ethnic,Aurelia Women Voile Orange Dupatta,1711,15,4.4,http://assets.myntassets.com/v1/images/style/properties/88540c74d7d507c9371c5d9f37125ce1_images.jpg
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant,371,160,4.5,http://assets.myntassets.com/v1/images/style/properties/98252134c6398e50aeebd873e6eafceb_images.jpg
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,Casual,Gini and Jony Girls Black Capris,667,362,2.7,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts,330,223,2.6,http://assets.myntassets.com/v1/images/style/properties/1d2eaf1491e0bf4906165ab1eaff3ad1_images.jpg
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,John Miller Men Dark Grey Trousers,2789,465,4.1,http://assets.myntassets.com/v1/images/style/properties/987d4390421e951dafe4bfdaba57f5fd_images.jpg
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt,2458,243,2.2,http://assets.myntassets.com/v1/images/style/properties/906c588711dcf840a61168758f463664_images.jpg
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,Ethnic,Aurelia Women Sea Green Kurta,2116,226,2.4,http://assets.myntassets.com/v1/images/style/properties/2e25195b2eaba31b89a991f2e0dbd532_images.jpg
10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops,2749,61,4.4,http://assets.myntassets.com/v1/images/style/properties/144954d20ce2e31fe6953f3e249e9a68_images.jpg
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,584,305,4.6,http://assets.myntassets.com/v1/images/style/properties/a6ea6713bae041ef4f62d3612586d1ef_images.jpg
37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,United Colors of Benetton Women Blue Top,715,177,4.6,http://assets.myntassets.com/v1/images/style/properties/58c4b740c2d2e9b52c6900579c7ff2d2_images.jpg
53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,Puma Men White and Navy Blue T-shirt,1551,95,4.6,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-White-and-Navy-Blue-Stripe-Polo-T-shirt_a81acd98afcadd66fa8ee8531c82ad46_images.jpg
25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,Doodle Kids Girls City Chic White Top,1016,319,4.6,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,ONLY Women Black Top,532,248,4.6,http://assets.myntassets.com/v1/images/style/properties/9d4d7aa206e22813311c0a0406ce02a4_images.jpg
57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Elle Women Dark Pink Top,2321,207,2.9,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Dark-Pink-Top_ce0e1c18ffc47444dcb28bb7b78ae13f_images.jpg
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,1096,133,3.7,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Bath-Robe_b47ef24153050e66fce7429a01204ca9_images.jpg
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,Ethnic,Aurelia Women Navy Blue Kurta,372,210,3.6,http://assets.myntassets.com/v1/images/style/properties/Aurelia-Women-Navy-Blue-Kurta_269c51a0aa07f814b0d68df6b37d4113_images.jpg
16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Locomotive Men Check Red Shirt,2435,130,3.2,http://assets.myntassets.com/v1/images/style/properties/e87ae94ffdf37c089daaad8d451f6995_images.jpg
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt,646,472,4.6,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg
46240,Women,Apparel,Topwear,Tunics,White,Summer,Casual,Fusion Beats Women White Printed Tunic,1578,411,4.5,http://assets.myntassets.com/v1/images/style/properties/3c92594cc9b62cba6a314a9ca9fd1e19_images.jpg
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Mother Earth Women Blue Kurta,1157,113,5.0,http://assets.myntassets.com/v1/images/style/properties/a576a21253c4cc6b7c04426389c1c58f_images.jpg
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,Forever New Women Stone Cream Jacket,1380,292,4.6,http://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,Ethnic,W Women Peach Kurta,612,136,4.4,http://assets.myntassets.com/v1/images/style/properties/8e6291cb947f1d35eb4ebc3c73baf1eb_images.jpg
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt,935,384,4.3,http://assets.myntassets.com/v1/images/style/properties/2811fe105e63b5795a6442edb85bb6cd_images.jpg
19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top,212,137,2.9,http://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg
27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Scullers For Her Women Blue Top,479,311,2.9,http://assets.myntassets.com/v1/images/style/properties/018b322355f8a44f117488fee256049c_images.jpg
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,1422,106,2.7,http://assets.myntassets.com/v1/images/style/properties/Classic-Polo-Mens-Swiss-Yellow-T-shirt_e87fa11cdb977d11d3e673a69f4a63db_images.jpg
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt,645,266,3.5,http://assets.myntassets.com/v1/images/style/properties/7c9e2e7c405128361af34be207a439a2_images.jpg
43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,French Connection Men White T-shirt,2357,362,4.2,http://assets.myntassets.com/v1/images/style/properties/9dc3c008c07a5df5b46622ee5d8579de_images.jpg
13270,Women,Apparel,Topwear,Tops,White,Fall,Casual,Palm Tree Kids Girls Printed White Tops,620,380,2.2,http://assets.myntassets.com/v1/images/style/properties/b590f001fb08f324b17ce869686b27dc_images.jpg
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,Palm Tree Girls Pink Top,525,317,4.2,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts,2585,312,5.0,http://assets.myntassets.com/v1/images/style/properties/6c598ee94ff155384130481aec05525e_images.jpg
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,Tokyo Talkies Women Yellow Top,1810,474,3.7,http://assets.myntassets.com/v1/images/style/properties/9e616458a21ce9d3b0ddf0895b24df0b_images.jpg
15187,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Arrow Sport Men Solid White Polo Tshirts,1122,66,2.3,http://assets.myntassets.com/v1/images/style/properties/10d750eb60726aff0c78cd599a20e0ab_images.jpg
14055,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Flying Machine Men Check Green Shirts,2503,210,2.2,http://assets.myntassets.com/v1/images/style/properties/6934c2d1bc11313536fd82a1192a1d33_images.jpg
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Applique Navy Blue Tshirt,1659,50,4.5,http://assets.myntassets.com/v1/images/style/properties/7909093ce4f956a24582b330a249d911_images.jpg
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Urban Yoga Women Printed Pink T-shirt,1141,239,4.1,http://assets.myntassets.com/v1/images/style/properties/8e3ddd6772fdb8b69c328402aa2baa0c_images.jpg
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,Palm Tree Boys Check Blue Shirt,1300,186,4.6,http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,927,74,2.8,http://assets.myntassets.com/v1/images/style/properties/f3dc8c5e7e7d7394150506a3f2f417c0_images.jpg
2243,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,1821,481,4.9,http://assets.myntassets.com/v1/images/style/properties/e1bba450764df5aed92151be769e42d0_images.jpg
