id,gender,mcat,scat,name,color,season,usage,brand,price,no of ratings,avg rating
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,Locomotive Men Washed Blue Jeans,913,126,3.6
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,Casual,United Colors of Benetton Men Solid Blue Sweater,465,495,4.2
7963,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,Puma Men's Large Logo Graphic White French T-shirt,2505,367,2.1
39147,Women,Apparel,Apparel Set,Kurta Sets,Purple,Fall,Ethnic,Aneri Women Purple Salwar Suit,2287,486,2.5
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,Casual,Elle Women Brown Trousers,2964,250,3.4
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,Casual,Turtle Solid Men  Burgundy Shirt,2853,420,3.6
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,Wrangler Men Polo Charcoal T-shirt,2684,425,4
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Jealous 21 Women Washed Blue Jeans,1820,378,2.8
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,Palm Tree Kids Boy Solid Brown Trousers,1650,357,3.2
43538,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,French Connection Women Blue Top,545,405,3.9
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear,199,316,4.3
31118,Girls,Apparel,Topwear,Tops,Red,Summer,Casual,Gini and Jony Girls Red Top,2000,140,2.8
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Stripe Black T-shirt,1816,120,4
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,1373,18,2.1
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Denizen Women Blue Jeans,2985,171,4.8
55805,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,Casual,SDL by Sweet Dreams Women Pink & Black Printed Night Suit S11-3134,196,162,2.4
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women's Aaren Black Jegging,232,321,2.1
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,Urban Yoga Women Black Track Pants,370,176,4.4
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,Formal,Indigo Nation Men Grey Striped Shirt,2587,387,4.5
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts,612,112,3.1
27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Winter,Casual,Jockey Women Black Lounge Pants,2831,47,2.2
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,John Players Men Check Blue Shirt,422,149,3
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,Casual,Mineral Women Grey Skirt,1742,209,3.5
2049,Men,Apparel,Topwear,Tshirts,White,Summer,Sports,ADIDAS Men's Slim Fit White T-shirt,2711,237,3.3
33019,Women,Apparel,Topwear,Kurtas,Yellow,Summer,Ethnic,Mother Earth Women Printed Yellow Kurta,2465,306,3.4
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Lee Men Blue Chicago Fit Jeans,1811,89,3.4
24892,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,United Colors of Benetton Men Black T-shirt,499,453,2.4
58514,Women,Apparel,Topwear,Tops,Grey,Summer,Casual,Tonga Women Grey Top,270,397,3.8
38637,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,Nike Men Red Delhi T-shirt,366,303,4.9
4944,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear,1857,365,2.7
10861,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Wrangler Men Dirt Riders White T-Shirts,2057,126,2.9
59600,Women,Apparel,Saree,Sarees,Rust,Fall,Ethnic,FNF Rust Wedding Collection Sari,1364,7,4.7
54923,Girls,Apparel,Bottomwear,Capris,Olive,Summer,Casual,Do u speak Green Girls Olive 3/4 Pant,2581,28,2.8
17278,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt,1358,363,3.2
31588,Men,Apparel,Topwear,Tshirts,Maroon,Summer,Casual,Mark Taylor Men Printed Maroon T-shirt,1052,33,4.9
18230,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Manchester United Men Printed White Tshirt,2915,313,4.3
23871,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,ADIDAS Men Grey Striped T-shirt,1984,251,2.2
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Indigo Nation Men Bling Red Black Shirts,582,29,3.4
16198,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,Sports,Puma Men Poly Knitted Black Tracksuit,2835,235,4.2
3953,Women,Apparel,Topwear,Tshirts,Red,Summer,Casual,Jealous 21 Women's Red Peace T-shirt,1054,257,3.8
28697,Women,Apparel,Topwear,Kurtas,Black,Summer,Ethnic,W Women Printed Black Kurta,2707,24,3.5
12538,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,Casual,Puma Men Solid Blue Track Pants,2138,414,5
8587,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Scullers Men Red Check Shirt,1287,220,2.3
42248,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Sepia Women Pink Top,1621,7,2.3
9455,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Red Striped Shirt,2433,113,2.2
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,Sports,Puma Women Essential Skinny Black 3/4 Pant,2873,228,2.4
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,Sports,Nabaiji Swimming Goggles Blue Black,2233,118,2.4
32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,Casual,Allen Solly Women Red Shorts,1642,167,2.3
6079,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,UCB Men's Johny Collar With Two Tone Grey T-shirt,2219,380,2
29321,Men,Apparel,Topwear,Tshirts,Black,Summer,Sports,ADIDAS Men Black Jersey,865,346,3.6
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,Casual,Arrow Woman Blue Shirt,2148,170,3.3
33489,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,Doodle Kids Boy Check Green Shirt,729,374,2.4
56822,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,John Players Men Beige Shorts,1047,166,3.2
40947,Boys,Apparel,Topwear,Tshirts,Red,Summer,Casual,Gini and Jony Boys Core Red T-shirt,1814,328,4.8
39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Peter England Men Party Black Jeans,2175,384,2.8
15977,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Turtle Solid Men Red Shirt,2617,242,2.7
32769,Men,Apparel,Topwear,Tshirts,Blue,Spring,Casual,Music Men Printed Blue T-shirt,1155,351,2.8
10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,Flying Machine Men Walnut Brown Tshirts,516,146,4.8
14099,Women,Apparel,Topwear,Tops,Pink,Fall,Casual,Flying Machine Women Solid Pink Tops,1603,198,3.5
1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Inkfruit Men Ride It Or Die T-shirt,631,324,2
30802,Men,Apparel,Topwear,Shirts,Blue,Summer,Ethnic,Fabindia Men Blue Shirt,208,313,2.6
26967,Women,Apparel,Topwear,Tops,Navy Blue,Summer,Casual,Jealous 21 Women Check Navy Blue Top,2328,451,2.1
27089,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,Aneri Women Jazz Brown Kurta,2948,41,2.1
19786,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,Casual,U.S. Polo Assn. Men Solid Navy Blue Tshirt,2273,433,4.9
24091,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Manchester United Men Navy Blue Striped T-shirt,2910,60,3.3
33026,Women,Apparel,Topwear,Kurtas,Pink,Fall,Ethnic,Mother Earth Women Pink Kurta,2153,255,3.8
41406,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Wrangler Women Pink T-shirt,2919,352,3.9
11376,Women,Apparel,Topwear,Tops,Grey,Fall,Casual,United Colors Of Benetton Women Light Winter Grey Tops,512,168,3.7
4381,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Superman Men's Silhouette Light Blue T-shirt,493,475,4.2
7504,Women,Apparel,Topwear,Tshirts,Pink,Summer,Sports,Nike Women's Smash Pink T-shirt,1129,304,4
22366,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Ed Hardy Men New Tiger White T-Shirt,1945,436,3.4
34203,Men,Apparel,Bottomwear,Track Pants,Charcoal,Winter,Casual,Proline Men Charcoal Grey Track Pants,2533,374,3.9
13421,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,United Colors of Benetton Men Stripes Black Polo T-shirts,1805,66,4.4
27614,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,Scullers Men Beige Trousers,711,312,2.2
16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,Formal,Peter England Men Stripes Maroon Shirt,623,372,2.1
46411,Men,Apparel,Topwear,Sweatshirts,Black,Summer,Casual,ADIDAS Men Black Sweatshirt,2084,325,3.9
34031,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,Gini and Jony Boys Check Blue Shirt,1448,285,2.7
31543,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Classic Polo Men Striped Navy Blue T-shirt,2146,175,3.8
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,Casual,Jockey Women Grey Melange Shorts,1214,238,2.2
2244,Women,Apparel,Topwear,Tshirts,Black,Fall,Casual,ADIDAS Women's Black T-shirt,2458,117,3.1
33214,Women,Apparel,Topwear,Tunics,Black,Summer,Casual,Sepia Women Printed Black & Green Tunic,226,415,2.7
11144,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,Scullers Men Price Catch Black Shirts,2238,488,4.1
58719,Women,Apparel,Topwear,Kurtas,Off White,Summer,Ethnic,ALayna Women Off White  Kurta,202,215,3.3
6280,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,UCB Men's Making Light Pink T-shirt,1309,39,4.5
7352,Men,Apparel,Topwear,Tshirts,Purple,Fall,Casual,Tantra Men's Whatever Purple T-shirt,498,488,2.5
2620,Men,Apparel,Topwear,Tshirts,Blue,Fall,Sports,Nike Men's Colors Team India T-shirt,731,382,4
43507,Men,Apparel,Topwear,Tshirts,Maroon,Summer,Casual,French Connection Men Maroon T-shirt,379,432,3.3
